solar_field_id,device_id,device_name,modules,capacity_kwp,period,energy_kwh
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-01,2180.5
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-02,2562.5
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-03,2321.3
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-04,2241.6
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-05,1871.3
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-06,2426.4
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-07,2446
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-08,2311.6
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-09,2379.3
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-10,2494.7
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-11,1773
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-12,2298.6
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-13,2382.4
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-14,2442.5
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-15,2419.7
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-16,2358.2
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-17,2504.3
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-18,2472
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-19,2536.3
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-20,2416.4
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-21,1327.6
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-22,2483.1
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-23,2273
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-24,1830.3
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-25,2570.5
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-26,2477.2
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-27,2574.4
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-28,2507.8
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-29,2354.6
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-06-30,2874.1
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-01,2465.3
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-02,2687.1
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-03,2540.3
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-04,2596.3
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-05,2574.4
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-06,2787
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-07,2591.9
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-08,2731.1
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-09,2492
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-10,2750.8
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-11,2627.8
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-12,2587.2
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-13,2551.4
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-14,2708.4
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-15,2830.2
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-16,2637.4
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-17,2783.4
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-18,2660.3
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-19,2764.3
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-20,2801.6
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-21,2850.5
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-22,2532.3
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-23,2718.4
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-24,2647.2
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-25,3021.2
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-26,2795.2
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-27,2858.4
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-28,2845.7
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-29,1912.2
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-30,2918.9
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-07-31,2582.5
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-08-01,2775.9
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-08-02,2630.4
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-08-03,2971.4
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-08-04,2892.5
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-08-05,3009.8
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-08-06,2830.5
SF-001,SF-001-INV-01,Inverter 01,1012,556.6,2026-08-07,2889.5
