solar_field_id,device_id,device_name,modules,capacity_kwp,period,energy_kwh
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-01,2017.6
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-02,2226
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-03,2198.7
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-04,2222.3
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-05,2372.1
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-06,2071.6
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-07,2166.7
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-08,2153.9
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-09,2001.9
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-10,2143.1
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-11,2209
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-12,2130.6
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-13,2280.5
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-14,2226
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-15,2177.7
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-16,2411.7
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-17,2209.1
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-18,2238.7
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-19,2220
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-20,2290.3
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-21,2225.5
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-22,2306.4
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-23,2244.4
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-24,2151
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-25,2361.2
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-26,2491.4
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-27,2192.6
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-28,2345
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-29,2285.4
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-06-30,2389.2
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-01,2170.1
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-02,2312
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-03,2379.5
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-04,2272.6
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-05,2229.9
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-06,2503
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-07,2146.2
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-08,2387.5
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-09,2332.7
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-10,2411.9
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-11,2417.3
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-12,2416.7
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-13,2565.5
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-14,2374.3
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-15,2347.8
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-16,2405.6
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-17,2442
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-18,2510.3
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-19,2494.1
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-20,2537.6
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-21,2359.1
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-22,2466.6
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-23,2350.6
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-24,2240.7
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-25,2581.7
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-26,2534.3
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-27,2583.7
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-28,2361.6
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-29,2293.7
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-30,2338.5
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-07-31,2682
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-08-01,2503.4
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-08-02,2584.2
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-08-03,2671.6
SF-003,SF-003-INV-01,Inverter 01,954,515.16,2026-08-04,2646.4
